PUBchemID,Aliphatics,Aromatics,FattyAcid,Monoterpene,Sesquiterpene,ALLCLASS
5362858,1,0,0,0,0,1
5357349,1,0,0,0,0,1
31260,1,0,0,0,0,1
10430,1,0,0,0,0,1
13357,1,0,0,0,0,1
11160,1,0,0,0,0,1
14090,0,1,0,0,0,2
998,0,1,0,0,0,2
6054,0,1,0,0,0,2
7711,0,1,0,0,0,2
7651,0,1,0,0,0,2
7410,0,1,0,0,0,2
31244,0,1,0,0,0,2
240,0,1,0,0,0,2
243,0,1,0,0,0,2
244,0,1,0,0,0,2
2345,0,1,0,0,0,2
8794,0,1,0,0,0,2
7708,0,1,0,0,0,2
10869,0,1,0,0,0,2
250096,0,1,0,0,0,2
637511,0,1,0,0,0,2
5315892,0,1,0,0,0,2
61151,0,1,0,0,0,2
8815,0,1,0,0,0,2
3314,0,1,0,0,0,2
798,0,1,0,0,0,2
7193,0,1,0,0,0,2
9015,0,1,0,0,0,2
7559,0,1,0,0,0,2
267569,0,1,0,0,0,2
7150,0,1,0,0,0,2
637520,0,1,0,0,0,2
4133,0,1,0,0,0,2
31244,0,1,0,0,0,2
7169,0,1,0,0,0,2
7043,0,1,0,0,0,2
8181,0,0,1,0,0,3
8103,0,0,1,0,0,3
5352557,0,0,1,0,0,3
8908,0,0,1,0,0,3
31289,0,0,1,0,0,3
5354833,0,0,1,0,0,3
454,0,0,1,0,0,3
5283324,0,0,1,0,0,3
18827,0,0,1,0,0,3
5363374,0,0,1,0,0,3
5363388,0,0,1,0,0,3
5281167,0,0,1,0,0,3
1549018,0,0,1,0,0,3
9862,0,0,0,1,0,4
6443227,0,0,0,0,1,5
93231,0,0,0,1,0,4
26049,0,0,0,1,0,4
6654,0,0,0,1,0,4
5368821,0,0,0,1,0,4
7460,0,0,0,1,0,4
21630868,0,0,0,1,0,4
7462,0,0,0,1,0,4
17100,0,0,0,1,0,4
17868,0,0,0,1,0,4
7463,0,0,0,1,0,4
31253,0,0,0,1,0,4
64685,0,0,0,1,0,4
6448,0,0,0,1,0,4
11142,0,0,0,1,0,4
14896,0,0,0,1,0,4
6616,0,0,0,1,0,4
2537,0,0,0,1,0,4
2758,0,0,0,1,0,4
8842,0,0,0,1,0,4
6432254,0,0,0,1,0,4
6427788,0,0,0,1,0,4
6432254,0,0,0,1,0,4
7461,0,0,0,1,0,4
5366264,0,0,0,1,0,4
44135602,0,0,0,1,0,4
89306,0,0,0,1,0,4
5464156,0,0,0,1,0,4
6428244,0,0,0,1,0,4
155007,0,0,0,1,0,4
440917,0,0,0,1,0,4
232703,0,0,0,1,0,4
537453,0,0,0,1,0,4
6549,0,0,0,1,0,4
441245,0,0,0,1,0,4
527424,0,0,0,1,0,4
5320250,0,0,0,1,0,4
5281553,0,0,0,1,0,4
7463,0,0,0,1,0,4
121719,0,0,0,1,0,4
10282,0,0,0,1,0,4
6987,0,0,0,1,0,4
18818,0,0,0,1,0,4
7462,0,0,0,1,0,4
11230,0,0,0,1,0,4
11463,0,0,0,1,0,4
524198,0,0,0,1,0,4
12304609,0,0,0,1,0,4
79035,0,0,0,1,0,4
29025,0,0,0,1,0,4
22310,0,0,0,1,0,4
6428574,0,0,0,1,0,4
8858,0,0,0,1,0,4
9862,0,0,0,1,0,4
3853254,0,0,0,1,0,4
1549778,0,0,0,1,0,4
6427110,0,0,0,0,1,5
12589924,0,0,0,0,1,5
91749831,0,0,0,0,1,5
91749831,0,0,0,0,1,5
12306048,0,0,0,0,1,5
6431015,0,0,0,0,1,5
76319594,0,0,0,0,1,5
442359,0,0,0,0,1,5
5281516,0,0,0,0,1,5
5281520,0,0,0,0,1,5
12306047,0,0,0,0,1,5
62566,0,0,0,0,1,5
11106485,0,0,0,0,1,5
442353,0,0,0,0,1,5
87529,0,0,0,0,1,5
6918391,0,0,0,0,1,5
6429302,0,0,0,0,1,5
5315347,0,0,0,0,1,5
530816,0,0,0,0,1,5
442393,0,0,0,0,1,5
519764,0,0,0,0,1,5
25244198,0,0,0,0,1,5
13240187,0,0,0,0,1,5
1742210,0,0,0,0,1,5
441005,0,0,0,0,1,5
5281516,0,0,0,0,1,5
6429302,0,0,0,0,1,5
5281515,0,0,0,0,1,5
5281517,0,0,0,0,1,5
5281519,0,0,0,0,1,5
5373727,0,0,0,0,1,5
564934,0,0,0,0,1,5
289151,0,0,0,0,1,5
5284507,0,0,0,0,1,5
442402,0,0,0,0,1,5
5362889,0,0,0,0,1,5
5317319,0,0,0,0,1,5
86608,0,0,0,0,1,5
5317319,0,0,0,0,1,5