SAMPLEID,family,treatment,COMPOSITE,TREATMENT
1,1,c,1_C,CONTROL
2,1,c,1_C,CONTROL
3,1,c,1_C,CONTROL
4,1,c,1_C,CONTROL
5,1,c,1_C,CONTROL
6,1,c,1_C,CONTROL
7,1,c,1_C,CONTROL
8,1,c,1_C,CONTROL
9,1,c,1_C,CONTROL
10,1,c,1_C,CONTROL
11,1,c,1_C,CONTROL
12,1,c,1_C,CONTROL
13,1,c,1_C,CONTROL
14,1,c,1_C,CONTROL
15,1,c,1_C,CONTROL
16,1,c,1_C,CONTROL
17,1,c,1_C,CONTROL
18,1,c,1_C,CONTROL
19,1,c,1_C,CONTROL
20,1,c,1_C,CONTROL
21,1,t,1_T,CHEMICAL
22,1,t,1_T,CHEMICAL
23,1,t,1_T,CHEMICAL
24,1,t,1_T,CHEMICAL
25,1,t,1_T,CHEMICAL
26,1,t,1_T,CHEMICAL
27,1,t,1_T,CHEMICAL
28,1,t,1_T,CHEMICAL
29,1,t,1_T,CHEMICAL
30,1,t,1_T,CHEMICAL
31,1,t,1_T,CHEMICAL
32,1,t,1_T,CHEMICAL
33,1,t,1_T,CHEMICAL
34,1,t,1_T,CHEMICAL
35,1,t,1_T,CHEMICAL
36,1,t,1_T,CHEMICAL
37,1,t,1_T,CHEMICAL
38,1,t,1_T,CHEMICAL
39,1,t,1_T,CHEMICAL
40,1,t,1_T,CHEMICAL
41,9,c,9_C,CONTROL
42,9,c,9_C,CONTROL
43,9,c,9_C,CONTROL
44,9,c,9_C,CONTROL
45,9,c,9_C,CONTROL
46,9,c,9_C,CONTROL
47,9,c,9_C,CONTROL
48,9,c,9_C,CONTROL
49,9,c,9_C,CONTROL
50,9,c,9_C,CONTROL
51,9,c,9_C,CONTROL
52,9,c,9_C,CONTROL
53,9,c,9_C,CONTROL
54,9,c,9_C,CONTROL
55,9,c,9_C,CONTROL
56,9,c,9_C,CONTROL
57,9,c,9_C,CONTROL
58,9,c,9_C,CONTROL
59,9,c,9_C,CONTROL
60,9,c,9_C,CONTROL
61,9,t,9_T,CHEMICAL
62,9,t,9_T,CHEMICAL
63,9,t,9_T,CHEMICAL
64,9,t,9_T,CHEMICAL
65,9,t,9_T,CHEMICAL
66,9,t,9_T,CHEMICAL
67,9,t,9_T,CHEMICAL
68,9,t,9_T,CHEMICAL
69,9,t,9_T,CHEMICAL
70,9,t,9_T,CHEMICAL
71,9,t,9_T,CHEMICAL
72,9,t,9_T,CHEMICAL
73,9,t,9_T,CHEMICAL
74,9,t,9_T,CHEMICAL
75,9,t,9_T,CHEMICAL
76,9,t,9_T,CHEMICAL
77,9,t,9_T,CHEMICAL
78,9,t,9_T,CHEMICAL
79,9,t,9_T,CHEMICAL
80,9,t,9_T,CHEMICAL
81,10,c,10_C,CONTROL
82,10,c,10_C,CONTROL
83,10,c,10_C,CONTROL
84,10,c,10_C,CONTROL
85,10,c,10_C,CONTROL
86,10,c,10_C,CONTROL
87,10,c,10_C,CONTROL
88,10,c,10_C,CONTROL
89,10,c,10_C,CONTROL
90,10,c,10_C,CONTROL
91,10,c,10_C,CONTROL
92,10,c,10_C,CONTROL
93,10,c,10_C,CONTROL
94,10,c,10_C,CONTROL
95,10,c,10_C,CONTROL
96,10,c,10_C,CONTROL
97,10,c,10_C,CONTROL
98,10,c,10_C,CONTROL
99,10,c,10_C,CONTROL
100,10,c,10_C,CONTROL
101,10,t,10_T,CHEMICAL
102,10,t,10_T,CHEMICAL
103,10,t,10_T,CHEMICAL
104,10,t,10_T,CHEMICAL
105,10,t,10_T,CHEMICAL
106,10,t,10_T,CHEMICAL
107,10,t,10_T,CHEMICAL
108,10,t,10_T,CHEMICAL
109,10,t,10_T,CHEMICAL
110,10,t,10_T,CHEMICAL
111,10,t,10_T,CHEMICAL
112,10,t,10_T,CHEMICAL
113,10,t,10_T,CHEMICAL
114,10,t,10_T,CHEMICAL
115,10,t,10_T,CHEMICAL
116,10,t,10_T,CHEMICAL
117,10,t,10_T,CHEMICAL
118,10,t,10_T,CHEMICAL
119,10,t,10_T,CHEMICAL
120,10,t,10_T,CHEMICAL
121,11,c,11_C,CONTROL
122,11,c,11_C,CONTROL
123,11,c,11_C,CONTROL
124,11,c,11_C,CONTROL
125,11,c,11_C,CONTROL
126,11,c,11_C,CONTROL
127,11,c,11_C,CONTROL
128,11,c,11_C,CONTROL
129,11,c,11_C,CONTROL
130,11,c,11_C,CONTROL
131,11,c,11_C,CONTROL
132,11,c,11_C,CONTROL
133,11,c,11_C,CONTROL
134,11,c,11_C,CONTROL
135,11,c,11_C,CONTROL
136,11,c,11_C,CONTROL
137,11,c,11_C,CONTROL
138,11,c,11_C,CONTROL
139,11,c,11_C,CONTROL
140,11,c,11_C,CONTROL
141,11,t,11_T,CHEMICAL
142,11,t,11_T,CHEMICAL
143,11,t,11_T,CHEMICAL
144,11,t,11_T,CHEMICAL
145,11,t,11_T,CHEMICAL
146,11,t,11_T,CHEMICAL
147,11,t,11_T,CHEMICAL
148,11,t,11_T,CHEMICAL
149,11,t,11_T,CHEMICAL
150,11,t,11_T,CHEMICAL
151,11,t,11_T,CHEMICAL
152,11,t,11_T,CHEMICAL
153,11,t,11_T,CHEMICAL
154,11,t,11_T,CHEMICAL
155,11,t,11_T,CHEMICAL
156,11,t,11_T,CHEMICAL
157,11,t,11_T,CHEMICAL
158,11,t,11_T,CHEMICAL
159,11,t,11_T,CHEMICAL
160,11,t,11_T,CHEMICAL
161,111,c,111_C,CONTROL
162,111,c,111_C,CONTROL
163,111,c,111_C,CONTROL
164,111,c,111_C,CONTROL
165,111,c,111_C,CONTROL
166,111,c,111_C,CONTROL
167,111,c,111_C,CONTROL
168,111,c,111_C,CONTROL
169,111,c,111_C,CONTROL
170,111,c,111_C,CONTROL
171,111,c,111_C,CONTROL
172,111,c,111_C,CONTROL
173,111,c,111_C,CONTROL
174,111,c,111_C,CONTROL
175,111,c,111_C,CONTROL
176,111,c,111_C,CONTROL
177,111,c,111_C,CONTROL
178,111,c,111_C,CONTROL
179,111,c,111_C,CONTROL
180,111,c,111_C,CONTROL
181,111,t,111_T,CHEMICAL
182,111,t,111_T,CHEMICAL
183,111,t,111_T,CHEMICAL
184,111,t,111_T,CHEMICAL
185,111,t,111_T,CHEMICAL
186,111,t,111_T,CHEMICAL
187,111,t,111_T,CHEMICAL
188,111,t,111_T,CHEMICAL
189,111,t,111_T,CHEMICAL
190,111,t,111_T,CHEMICAL
191,111,t,111_T,CHEMICAL
192,111,t,111_T,CHEMICAL
193,111,t,111_T,CHEMICAL
194,111,t,111_T,CHEMICAL
195,111,t,111_T,CHEMICAL
196,111,t,111_T,CHEMICAL
197,111,t,111_T,CHEMICAL
198,111,t,111_T,CHEMICAL
199,111,t,111_T,CHEMICAL
200,111,t,111_T,CHEMICAL