ID,treatment,TREATMENT
HP24H01,infested-pollinated,BIOTIC
HP24H02,infested-pollinated,BIOTIC
HP24H03,infested-pollinated,BIOTIC
HP24H04,infested-pollinated,BIOTIC
HP24H05,infested-pollinated,BIOTIC
P24H02,pollinated,BIOTIC
P24H03,pollinated,BIOTIC
P24H04,pollinated,BIOTIC
P24H05,pollinated,BIOTIC
P24H06,pollinated,BIOTIC
P24H07,pollinated,BIOTIC
U24H01,unpollinated,CONTROL
U24H02,unpollinated,CONTROL
U24H03,unpollinated,CONTROL
U24H04,unpollinated,CONTROL
U24H05,unpollinated,CONTROL
U24H06,unpollinated,CONTROL