ID,5281167,91749831,5281516,5362889,5281520,7460,6654,17100,240,244,5281515,5320250,6549,31253,31244,998,121719,18818
C24H01,181622,0,0,0,0,299208,0,0,2834159,0,0,1998114,0,1768582,0,0,0,926345
C24H02,240006,0,455620,65552,0,0,0,0,4280343,632645,0,0,52557,0,0,0,0,0
C24H03,0,2807455,932722,1585191,144866,1046810,359296,858002,20520912,3942993,399295,900915,0,13114531,95354,3226359,0,5692747
C24H04,345391,66116,1689723,226897,0,423729,129883,370436,7473865,0,0,7835115,0,4271660,1254283,1007720,0,1839935
C24H05,0,163313,665566,198059,0,273658,180417,297550,10722990,678528,48345,1452726,0,2738609,1719270,5131260,0,2051919
C24H06,0,133287,1566228,1126408,0,815160,309210,0,20914336,3318760,45698,20573407,0,12151661,279200,0,0,6690364
F24H01,0,294593,1874839,579868,77503,810934,198784,1488895,25434830,2921437,57488,16610232,0,17100436,994806,5993783,605479,8460928
F24H02,37268,653484,353280,84184,79287,166154,88095,353076,6053169,0,129190,11533827,363255,3542421,0,0,177068,1832916
F24H03,0,1022788,735636,253497,89559,289303,40793,1153716,25390578,0,226576,0,0,4629414,7541838,36368918,0,2243388
F24H04,0,0,1643216,429356,0,304869,62333,512080,19969651,0,79284,18270544,398248,5971083,6741921,14145915,0,2302202
F24H05,0,79690,456647,143808,0,232921,79075,432369,8249947,0,0,2965774,397187,2806895,2989982,0,132473,1652440