Sample,14896,7462,440917,5281553,6549,93231,17100,564934,5373727,442359,5281520,5281516
1,0,0,1014174.87,0,0,0,0,0,0,0,0,0
2,401345.43,0,3933921.14,30257656.66,1198459.18,23455547.8,222118.63,0,0,0,0,0
3,251849.12,0,71791.33,1027222.31,260877.21,318851.12,0,0,0,0,0,0
4,381512.13,0,0,153911457.8,4218914.95,0,293162.52,0,0,0,0,0
5,0,0,37306.83,0,0,171533.11,265220.48,0,0,0,0,0
6,161695,168466,11705785,691945,0,0,0,0,0,0,0,0
7,0,0,0,87714.82098,0,0,0,0,0,0,0,0
8,0,0,85831.20341,0,0,0,0,0,0,0,0,0
9,225698.8728,182376.8116,2725623.188,0,0,0,0,0,0,0,0,0
10,0,0,1375713.296,0,0,0,0,0,0,0,0,0
11,203609.04,0,18455048.71,158026.7661,2238362.001,0,249099.1663,180294.4274,134094.7784,83982.88723,332175.0768,1540950.856
12,1204623.338,0,6056440.916,0,0,0,340508.8626,0,0,0,0,0
13,145972.0559,0,1088310.878,0,673236.5269,471647.2056,0,0,56993.51297,138014.9701,0,0
14,1712250.737,0,75451531.51,3701252.078,1199110.217,810845.8032,214832.1266,76474.92625,911096.5406,1509878.52,0,692880.6651
15,107829.0265,0,2219512.212,5552349.027,343281.4159,3031447.08,0,295278.9381,110708.6726,131858.4071,544410.2655,271429.0265
16,350608.2645,478987.3,227620209.9,3339789,2943950,4942052,1210105,2562095.317,1025997,1782137,2416006,0
17,0,0,1020170,82725.06,150017.9,0,0,868014.0665,335652.2,602451.8,393637.3,0
18,0,201780,31255929,1031109,10932809,0,1099891,69925.16683,381924.7,609118.7,617747.4,0
19,265886.78,134422.6,61499292,275398.1,276734.1,488742.8,0,1010986.68,178363.2,108368.9,225828.4,0
20,0,109142.4,9215113,215714.9,974954.8,144373.6,326100.2,0,94387.24,199922.6,0,0