Sample,5281167,17868,6654,18818,14896,31253,5363388,7460,8908,26049,7462,440917,2758,998,5281553,7461,11463,6427110,11230,17100,798,289151,12306047,5281516,5284507
1,7379,120293,62300,493053,275939,759927,44045,44338,0,6475,171794,603216,478289,30941,21462,107347,75639,9184,5395,33006,0,8353,17573,5314,3685
2,146565,0,0,0,25099,15574,1871409,0,44661,4354,0,15343,2836,39932,3385,0,0,26308,0,0,13902,7527,13596,7436,9263
3,14408,33625,20510,152532,109333,231594,104552,12387,6831,11907,36557,204898,149932,55730,8312,27147,17044,0,2052,29273,20780,15169,2587,10167,0
4,2993,0,810,0,17865,9319,5203,2848,0,4599,0,20045,2858,33509,1653,1146,0,0,0,0,0,10977,4132,31462,0
5,5375,89429,43288,399652,212433,597605,24075,26809,4400,7688,115640,488109,366857,50760,24080,72466,55328,0,6099,25113,3300,10325,6812,12286,0
6,8147,9348,9752,45947,50654,73604,35865,4364,0,12152,12365,70140,86901,27545,5025,9161,7053,0,1517,4156,1613,10707,0,0,0
7,41085,0,4166,0,27839,12212,257525,0,8196,12796,0,37455,101284,39417,0,2701,0,0,0,0,2855,13516,0,8470,0
8,0,0,0,0,23055,20668,6287,0,0,6948,0,28989,3023,44545,3472,2273,0,0,0,1680,0,10022,34153,74617,0
9,32735,43333,24563,203591,127260,293008,135052,9942,5897,4662,39315,237634,189919,59472,11614,26785,24651,23579,3455,23530,19942,7270,0,16504,5944
10,626602,45916,25174,207682,138326,304822,16970084,17008,431843,5777,52558,279120,196118,52833,15568,32513,27397,46194,2555,9158,6971,14137,0,39556,36726
11,33121,0,1295,0,19027,7703,219575,0,18372,7424,0,25573,3483,17444,1895,1278,0,58510,0,0,113636,9935,146757,104828,21781
12,188744,96528,50835,483451,250175,678326,2154973,28173,36638,12264,90434,572239,436663,58868,27140,57023,48272,17091,4823,13004,109147,21049,32983,52145,23132
13,1384294,42274,26268,195605,124137,285014,20392616,16768,599261,9243,45093,231135,191322,25939,14833,28959,23047,16567,2421,6213,408363,15098,19387,18878,0
14,41778,0,1814,0,20098,5958,138914,0,9918,14783,0,20975,29782,30415,0,1415,0,0,0,2082,172899,13197,0,17206,29437
15,22937,35335,23771,162601,110484,233921,186547,9542,12344,8007,30775,201463,137359,32528,9355,18720,17807,92898,1478,4744,217484,14683,0,10216,0
16,17680,0,1040,0,20615,5170,102513,0,8437,4284,0,16089,7205,46777,4202,0,0,17452,0,0,105880,9537,28065,22450,15502
17,63096,28037,14791,150128,87133,200153,357502,8211,22458,0,25185,153601,111728,36031,8738,16008,14332,0,1777,4645,232372,9980,101993,47387,8180
18,63834,0,903,0,17759,11534,604799,0,23205,3243,1682,15812,3604,34358,4490,908,0,18413,0,2277,101002,9777,6554,38293,28673
19,15885,38168,27336,193857,127829,262956,112927,8424,7709,6928,29242,212125,151081,23959,10401,18836,15576,14220,1185,4429,34638,12567,25717,0,6305
20,52329,16607,10064,82995,60742,116497,678223,5661,17882,3742,16065,105017,71751,36737,5615,9361,8432,311948,746,5381,147761,10572,0,51352,35152
21,19857,238567,128513,1091488,555865,1545794,280984,66049,15905,8962,231284,1052923,1060459,71919,49041,142792,121360,0,12079,44466,84387,16199,0,22123,0
22,69237,24983,20247,129194,92190,180507,1433758,8212,39160,24191,24783,168912,110565,47960,8932,15508,12325,185322,0,3245,90265,12015,36568,61747,58096
23,69457,45808,28085,235288,142531,321846,366204,13496,25466,10232,41324,300907,238126,67533,12627,27177,24395,47055,3347,57305,88012,12659,9041,19773,33898
24,12530,97105,56199,482239,261049,656763,104939,25043,9927,8376,85588,498979,432811,47321,27091,54313,46904,31853,4779,117384,11105,12044,18328,13362,37415
25,551029,68513,33927,332256,179974,475291,18241283,16996,463386,6564,58405,352486,278951,65828,16370,34949,30467,157892,2871,21332,18077,12712,6278,38395,25835
26,980983,81530,50254,367699,196201,539050,22508220,27546,611665,6255,109765,447935,329504,40699,26899,62686,49578,104044,3849,13344,162432,65691,25016,106140,46261
27,120369,35423,21806,162526,106201,232800,1258470,12070,45919,6279,29404,211447,176623,41028,10821,22114,18495,64410,2470,6729,75857,18259,0,111457,29389
28,833507,0,0,0,16532,17368,18182953,0,553761,6728,0,39995,3790,39907,2590,0,0,0,0,2691,447913,11307,0,503830,5070
29,78884,0,3150,0,23625,7157,876083,0,55647,15656,0,32844,3071,29732,2205,1219,0,76530,0,0,12096,20372,10575,7374,44338
30,426145,61789,37000,289857,155592,430777,5629370,19307,193004,19427,65826,358570,240523,42429,11209,39975,33072,16035,1835,4495,43608,11187,0,15755,20762
31,11756,26943,25276,128244,96426,167045,82526,6891,8384,26251,23551,195486,97169,34612,3629,15605,11521,0,1132,3198,127611,12644,0,0,0
32,36686,23684,15742,116750,73382,175595,469161,7752,21685,5539,22949,151833,101432,40669,7963,14973,12728,19900,1689,11150,108693,10641,0,44383,13705
33,91364,0,1755,0,22342,8823,2005018,0,98266,6703,0,17572,6710,30523,2144,1078,0,33361,0,0,1120001,10164,0,130876,32663
34,24916,44280,29472,205903,126193,289125,196136,11171,14991,9669,35615,262030,174767,26209,8702,23450,19769,0,1586,6563,8903,16286,36866,41003,0
35,31446,47775,26680,118295,101104,145688,108653,12484,9610,2665,34412,230939,194085,0,2159,18921,9761,0,1471,2032,32551,5383,0,0,0
36,56413,0,943,0,30130,4898,462541,0,23617,3684,0,20996,6379,45985,4376,1036,0,12021,0,0,313549,50172,0,36512,10816
37,7016,0,0,0,18870,9962,36642,0,5840,4116,3681,19235,2843,32624,3328,1348,0,13801,0,1547,14495,9271,0,54707,0
38,26381,93482,61311,464214,266365,619084,350171,20943,13605,9191,76742,456206,364356,50527,28828,48094,41579,55663,3933,23485,19850,12467,11424,27355,34154
39,34442,65816,34702,308092,162602,450043,707037,18852,21230,7315,64597,317843,237050,25995,15282,40852,33062,79534,2114,18493,60402,11118,14836,11973,21905
40,106284,32593,19568,154387,93565,224310,1316645,10083,45588,6674,30179,177664,117494,49978,8437,18050,15781,102869,0,3739,16430,9203,17603,102892,37000
41,13751,0,0,0,13722,18651,315929,0,11445,3269,0,7834,2069,33894,1438,0,0,86001,0,0,74890,13231,3792,7468,29355
42,4096,42558,26736,221221,119767,304171,19651,10306,4919,3445,36997,248384,198795,37956,11391,23383,20071,10370,1805,5194,166524,7959,27693,26954,18033
43,447001,31890,18448,160954,99592,251124,13624266,10512,329011,6176,28227,198718,144904,42028,9363,19103,15251,84650,1255,4791,92519,14486,29455,26199,17260
44,106700,0,0,0,23365,5800,735023,0,15925,5048,0,6842,2364,29151,2303,0,0,0,0,0,98080,8264,0,7927,0
45,36138,0,2852,0,23121,9915,290839,0,13749,11120,0,23448,6219,36739,2047,0,0,34141,0,2026,152918,11092,31479,19893,20776
46,10444,30164,19031,146438,90561,203595,79894,7706,6147,5176,23429,170284,163099,39000,6264,14817,13162,19396,0,3333,64877,11958,0,7618,5055
47,299096,37122,25301,182836,144771,247337,5238459,9493,224409,2517,28444,200057,159805,48804,10762,17981,16064,25376,1708,22418,99770,28438,8231,54217,14782
48,17638,0,0,0,40638,4694,199559,0,14428,3250,0,21090,5936,27792,1703,0,0,16021,0,4623,35409,12253,11080,4813,11772