Sample,Treatment1,Treatment2,Treatment3,Treatment4,Treatment5,Treatment6
1,15,33,3,3,NG,1
2,82,249,21,3,NG,4
3,9,17,2,3,NG,1
4,79,244,21,2,NG,4
5,5,9,1,2,NG,1
6,30,58,5,1,NG,2
7,36,72,6,3,NG,3
8,106,296,25,3,NG,4
9,32,66,6,1,NG,3
10,46,91,8,2,NG,3
11,4,8,1,3,NG,1
12,8,16,2,2,NG,1
13,50,101,9,2,NG,4
14,78,216,18,3,NG,0
15,71,189,16,1,NG,0
16,76,211,18,2,NG,0
17,81,247,21,1,NG,4
18,92,267,23,2,NG,5
19,45,90,8,1,NG,3
20,61,133,12,1,NG,0
21,67,182,16,2,NG,0
22,87,260,22,2,NG,5
23,11,21,2,2,G,1
24,31,63,6,2,NG,3
25,38,74,7,1,G,3
26,44,89,8,3,NG,3
27,68,183,16,3,NG,0
28,83,250,21,1,G,4
29,85,253,22,3,NG,5
30,90,264,22,3,G,5
31,99,280,24,3,NG,5
32,77,215,18,1,NG,0
33,88,262,22,1,NG,5
34,24,47,4,3,NG,2
35,35,71,6,2,G,3
36,53,105,9,1,NG,4
37,54,106,9,2,G,4
38,65,141,12,2,NG,0
39,97,277,24,2,NG,5
40,60,130,11,1,NG,2
41,95,274,23,1,NG,5
42,100,281,24,1,NG,5
43,14,27,3,2,G,1
44,19,37,4,1,NG,2
45,40,79,7,3,NG,3
46,72,190,16,2,G,0
47,107,297,25,2,NG,4
48,18,36,3,2,NG,1
49,47,93,8,3,G,3
50,1,3,1,1,NG,1
51,80,245,21,3,G,4
52,84,251,21,2,G,4
53,10,20,2,1,NG,1
54,22,43,4,2,NG,2
55,23,44,4,1,G,2
56,37,73,7,1,NG,3
57,105,293,25,3,G,4
58,17,35,3,1,G,1
59,25,49,5,2,NG,2
60,29,56,5,3,G,2
61,34,69,6,3,G,3
62,52,104,9,3,NG,4
63,74,207,18,2,G,0
64,58,126,11,2,G,2
65,91,265,23,2,G,5
66,2,5,1,3,G,1
67,3,7,1,2,G,1
68,20,41,4,2,G,2
69,26,50,5,3,NG,2
70,28,54,5,2,G,2
71,62,134,12,1,G,0
72,13,26,3,3,G,1
73,63,136,12,3,G,0
74,101,287,24,1,G,5
75,108,299,25,1,G,4
76,51,102,9,1,G,4
77,69,185,16,3,G,0
78,89,263,22,2,G,5
79,96,276,23,3,G,5
80,104,292,25,2,G,4
81,86,256,22,1,G,5
82,21,42,4,3,G,2
83,27,53,5,1,G,2
84,43,88,8,2,G,3
85,66,144,12,2,G,0
86,70,187,16,1,G,0
87,73,206,18,3,G,0
88,102,288,24,2,G,4
89,75,209,18,1,G,0
90,93,268,23,1,G,5
91,7,14,2,1,G,1