AdjR2,RDA
0.04755,A
0.07,A
0.03,A
0.06,A
-0.008,A
-0.009,A
0.01,A
0.068,A
-0.01,A
0.00487,A
0.07159,A
0.06202,A
0.25168,A
0.01317,A
0.00118,A
0.05931,A
0.01271,A
0.01505,A
0.00654,A
-0.00732,A
0.0067,A
-0.00909,A
0.29975,A
0.01413,A
0.16271,A
0.00297,A
-0.00162,A
0.097,A
0.03204,A+B
0.19,A+B
0.1,A+B
0.1,A+B
0.06,A+B
0.17,A+B
0.03,A+B
0.12,A+B
0.04,A+B
0.09601,A+B
0.22086,A+B
0.13938,A+B
0.34301,A+B
0.09749,A+B
0.02393,A+B
0.06876,A+B
0.10052,A+B
0.03769,A+B
0.1862,A+B
0.14309,A+B
0.38807,A+B
0.0107,A+B
0.60025,A+B
-0.01843,A+B
0.28957,A+B
0.14336,A+B
0.043,A+B
0.2,A+B
-0.0155,B
0.11,B
0.04,B
0.04,B
0.06,B
0.18,B
0.02,B
0.05,B
0.05,B
0.09114,B
0.14927,B
0.07736,B
0.09133,B
0.08432,B
0.02275,B
0.00945,B
0.08781,B
0.02264,B
0.17967,B
0.15041,B
0.38137,B
0.01979,B
0.3005,B
-0.03256,B
0.12686,B
0.14038,B
0.04462,B
0.108,B
0.16498,B+C
0.14,B+C
0.09,B+C
0.03,B+C
0.13,B+C
0.3,B+C
0.19,B+C
0.08,B+C
0.19,B+C
0.11779,B+C
0.15899,B+C
0.08456,B+C
0.09886,B+C
0.109,B+C
0.03087,B+C
0.00912,B+C
0.13578,B+C
0.02781,B+C
0.49853,B+C
0.19142,B+C
0.43179,B+C
0.04363,B+C
0.31361,B+C
0.0991,B+C
0.12332,B+C
0.23207,B+C
0.05058,B+C
0.11,B+C
0.18048,C
0.03,C
0.02,C
-0.001,C
0.06,C
0.12,C
0.17,C
0.03,C
0.14,C
0.02664,C
0.00972,C
0.00721,C
0.00753,C
0.02468,C
0.00812,C
-0.00033,C
0.04797,C
0.00517,C
0.31886,C
0.04101,C
0.05042,C
0.02384,C
0.01311,C
0.13165,C
-0.00354,C
0.09168,C
0.00596,C
0.007,C
0.21253,A+B+C
0.22,A+B+C
0.12,A+B+C
0.1,A+B+C
0.12,A+B+C
0.29,A+B+C
0.2,A+B+C
0.15,A+B+C
0.18,A+B+C
0.12266,A+B+C
0.23058,A+B+C
0.14658,A+B+C
0.35054,A+B+C
0.12217,A+B+C
0.03205,A+B+C
0.06843,A+B+C
0.14849,A+B+C
0.04286,A+B+C
0.50506,A+B+C
0.18409,A+B+C
0.4385,A+B+C
0.03454,A+B+C
0.61336,A+B+C
0.11322,A+B+C
0.28603,A+B+C
0.23504,A+B+C
0.04897,A+B+C
0.21,A+B+C