"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy","TREATMENT"
"[a+b+c] = X1+X223",2,0.0940907769438976,0.0911778855514341,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_024","CONTROL"
"[a] = X1|X223",1,NA,-0.00141916757177718,TRUE,"[E|C]","0.87021297870213","Samples_024","CONTROL"
"[b]23",0,NA,0.0427586065536447,FALSE,"[E:C]","NA","Samples_024","CONTROL"
"[c] = X2|X123",1,NA,0.0498384465695666,TRUE,"[C|E]","9.99900009999e-05","Samples_024","CONTROL"
"[d] = Residuals23",NA,NA,0.908822114448566,FALSE,"Residuals","NA","Samples_024","CONTROL"
"[a+b] = X124",1,0.134786052742115,0.13339726630992,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_025","CONTROL"
"[b+c] = X224",1,0.124465780710334,0.123060428833465,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_025","CONTROL"
"[a+b+c] = X1+X224",2,0.155599795951056,0.152884682754757,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_025","CONTROL"
"[a] = X1|X224",1,NA,0.0298242539212918,TRUE,"[E|C]","9.99900009999e-05","Samples_025","CONTROL"
"[b]24",0,NA,0.103573012388628,FALSE,"[E:C]","NA","Samples_025","CONTROL"
"[c] = X2|X124",1,NA,0.0194874164448371,TRUE,"[C|E]","0.0001999800019998","Samples_025","CONTROL"
"[d] = Residuals24",NA,NA,0.847115317245243,FALSE,"Residuals","NA","Samples_025","CONTROL"
"[a+b] = X125",1,0.0219755940181173,0.00620100682486113,TRUE,"[E|C+E:C]","0.239276072392761","Samples_STUDY001","BIOTIC"
"[b+c] = X225",1,0.0161346808845987,0.000265885414995504,TRUE,"[E:C+C|E]","0.318768123187681","Samples_STUDY001","BIOTIC"
"[a+b+c] = X1+X225",2,0.0240756797709234,-0.00792183892511189,TRUE,"[E|C+E:C+C|E]","0.46995300469953","Samples_STUDY001","BIOTIC"
"[a] = X1|X225",1,NA,-0.00818772434010739,TRUE,"[E|C]","0.482251774822518","Samples_STUDY001","BIOTIC"
"[b]25",0,NA,0.0143887311649685,FALSE,"[E:C]","NA","Samples_STUDY001","BIOTIC"
"[c] = X2|X125",1,NA,-0.014122845749973,TRUE,"[C|E]","0.72002799720028","Samples_STUDY001","BIOTIC"
"[d] = Residuals25",NA,NA,1.00792183892511,FALSE,"Residuals","NA","Samples_STUDY001","BIOTIC"
"[a+b] = X126",1,0.149795405558728,0.141119848472592,TRUE,"[E|C+E:C]","0.0001999800019998","Samples_002","BIOTIC"
"[b+c] = X226",1,0.277654189908127,0.270283314294945,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[a+b+c] = X1+X226",2,0.283960653541858,0.269196955676742,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[a] = X1|X226",1,NA,-0.00108635861820272,TRUE,"[E|C]","0.34986501349865","Samples_002","BIOTIC"
"[b]26",0,NA,0.142206207090795,FALSE,"[E:C]","NA","Samples_002","BIOTIC"
"[c] = X2|X126",1,NA,0.12807710720415,TRUE,"[C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[d] = Residuals26",NA,NA,0.730803044323258,FALSE,"Residuals","NA","Samples_002","BIOTIC"
"[a+b] = X127",1,0.159484381193775,0.152421224733218,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_009_herbivory","BIOTIC"
"[b+c] = X227",1,0.154391256710273,0.147285300884309,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_009_herbivory","BIOTIC"
"[a+b+c] = X1+X227",2,0.174205427915791,0.160208909744872,TRUE,"[E|C+E:C+C|E]","0.0001999800019998","Samples_009_herbivory","BIOTIC"
"[a] = X1|X227",1,NA,0.0129236088605623,TRUE,"[E|C]","0.0943905609439056","Samples_009_herbivory","BIOTIC"
"[b]27",0,NA,0.139497615872656,FALSE,"[E:C]","NA","Samples_009_herbivory","BIOTIC"
"[c] = X2|X127",1,NA,0.00778768501165339,TRUE,"[C|E]","0.148185181481852","Samples_009_herbivory","BIOTIC"
"[d] = Residuals27",NA,NA,0.839791090255128,FALSE,"Residuals","NA","Samples_009_herbivory","BIOTIC"
"[a+b] = X128",1,0.00606462983191589,-0.03714995147974,TRUE,"[E|C+E:C]","0.712628737126287","Samples_012","BIOTIC"
"[b+c] = X228",1,0.125083200125462,0.0870433392613515,TRUE,"[E:C+C|E]","0.0878912108789121","Samples_012","BIOTIC"
"[a+b+c] = X1+X228",2,0.127879717530685,0.0485960554880205,TRUE,"[E|C+E:C+C|E]","0.221677832216778","Samples_012","BIOTIC"
"[a] = X1|X228",1,NA,-0.0384472837733311,TRUE,"[E|C]","0.798020197980202","Samples_012","BIOTIC"
"[b]28",0,NA,0.00129733229359108,FALSE,"[E:C]","NA","Samples_012","BIOTIC"
"[c] = X2|X128",1,NA,0.0857460069677605,TRUE,"[C|E]","0.0898910108989101","Samples_012","BIOTIC"
"[d] = Residuals28",NA,NA,0.95140394451198,FALSE,"Residuals","NA","Samples_012","BIOTIC"
"[a+b] = X129",1,0.0617514877793363,0.0561332332151407,TRUE,"[E|C+E:C]","0.0011998800119988","Samples_014_A","BIOTIC"
"[b+c] = X229",1,0.0587644526602944,0.0531283116582603,TRUE,"[E:C+C|E]","0.0017998200179982","Samples_014_A","BIOTIC"
"[a+b+c] = X1+X229",2,0.0678976149485884,0.0566674657311015,TRUE,"[E|C+E:C+C|E]","0.0028997100289971","Samples_014_A","BIOTIC"
"[a] = X1|X229",1,NA,0.00353915407284122,TRUE,"[E|C]","0.211678832116788","Samples_014_A","BIOTIC"
"[b]29",0,NA,0.0525940791422995,FALSE,"[E:C]","NA","Samples_014_A","BIOTIC"
"[c] = X2|X129",1,NA,0.000534232515960742,TRUE,"[C|E]","0.292270772922708","Samples_014_A","BIOTIC"
"[d] = Residuals29",NA,NA,0.943332534268899,FALSE,"Residuals","NA","Samples_014_A","BIOTIC"
"[a+b] = X130",1,0.00551286907967011,0.00242439972898589,TRUE,"[E|C+E:C]","0.183781621837816","Samples_014_B","BIOTIC"
"[b+c] = X230",1,2.56866327592287e-05,-0.00307982365720116,TRUE,"[E:C+C|E]","0.932806719328067","Samples_014_B","BIOTIC"
"[a+b+c] = X1+X230",2,0.00931098459614823,0.00313846736621759,TRUE,"[E|C+E:C+C|E]","0.217478252174783","Samples_014_B","BIOTIC"
"[a] = X1|X230",1,NA,0.00621829102341875,TRUE,"[E|C]","0.0841915808419158","Samples_014_B","BIOTIC"
"[b]30",0,NA,-0.00379389129443286,FALSE,"[E:C]","NA","Samples_014_B","BIOTIC"
"[c] = X2|X130",1,NA,0.000714067637231697,TRUE,"[C|E]","0.268073192680732","Samples_014_B","BIOTIC"
"[d] = Residuals30",NA,NA,0.996861532633782,FALSE,"Residuals","NA","Samples_014_B","BIOTIC"
"[a+b] = X131",1,0.0683116201736037,0.0650653191985988,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_014_C","BIOTIC"
"[b+c] = X231",1,0.0132198952897429,0.00978163708517743,TRUE,"[E:C+C|E]","0.0534946505349465","Samples_014_C","BIOTIC"
"[a+b+c] = X1+X231",2,0.0736268929428852,0.0671487593271013,TRUE,"[E|C+E:C+C|E]","0.0001999800019998","Samples_014_C","BIOTIC"
"[a] = X1|X231",1,NA,0.0573671222419239,TRUE,"[E|C]","9.99900009999e-05","Samples_014_C","BIOTIC"
"[b]31",0,NA,0.00769819695667495,FALSE,"[E:C]","NA","Samples_014_C","BIOTIC"
"[c] = X2|X131",1,NA,0.00208344012850248,TRUE,"[C|E]","0.196680331966803","Samples_014_C","BIOTIC"
"[d] = Residuals31",NA,NA,0.932851240672899,FALSE,"Residuals","NA","Samples_014_C","BIOTIC"
"[a+b] = X132",1,0.419335429709666,0.414455895505545,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_015","BIOTIC"
"[b+c] = X232",1,0.0958749420846336,0.0882772525223195,TRUE,"[E:C+C|E]","0.0002999700029997","Samples_015","BIOTIC"
"[a+b+c] = X1+X232",2,0.434327825813776,0.424740161844518,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_015","BIOTIC"
"[a] = X1|X232",1,NA,0.336462909322199,TRUE,"[E|C]","9.99900009999e-05","Samples_015","BIOTIC"
"[b]32",0,NA,0.0779929861833465,FALSE,"[E:C]","NA","Samples_015","BIOTIC"
"[c] = X2|X132",1,NA,0.0102842663389731,TRUE,"[C|E]","0.0785921407859214","Samples_015","BIOTIC"
"[d] = Residuals32",NA,NA,0.575259838155482,FALSE,"Residuals","NA","Samples_015","BIOTIC"
"[a+b] = X133",1,0.0599641056669298,0.0543351482158335,TRUE,"[E|C+E:C]","0.000999900009999","Samples_016_2","BIOTIC"
"[b+c] = X233",1,0.114536481746281,0.109234304990271,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_016_2","BIOTIC"
"[a+b+c] = X1+X233",2,0.11703520235724,0.106397072265159,TRUE,"[E|C+E:C+C|E]","0.0002999700029997","Samples_016_2","BIOTIC"
"[a] = X1|X233",1,NA,-0.00283723272511238,TRUE,"[E|C]","0.49015098490151","Samples_016_2","BIOTIC"
"[b]33",0,NA,0.0571723809409459,FALSE,"[E:C]","NA","Samples_016_2","BIOTIC"
"[c] = X2|X133",1,NA,0.0520619240493251,TRUE,"[C|E]","0.0010998900109989","Samples_016_2","BIOTIC"
"[d] = Residuals33",NA,NA,0.893602927734841,FALSE,"Residuals","NA","Samples_016_2","BIOTIC"
"[a+b] = X134",1,0.111811912725283,0.106493421184716,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_018","BIOTIC"
"[b+c] = X234",1,0.0637435382839687,0.0581372121659086,TRUE,"[E:C+C|E]","0.0010998900109989","Samples_018","BIOTIC"
"[a+b+c] = X1+X234",2,0.121748429013816,0.111167084785067,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_018","BIOTIC"
"[a] = X1|X234",1,NA,0.0530298726191584,TRUE,"[E|C]","0.0017998200179982","Samples_018","BIOTIC"
"[b]34",0,NA,0.0534635485655572,FALSE,"[E:C]","NA","Samples_018","BIOTIC"
"[c] = X2|X134",1,NA,0.00467366360035137,TRUE,"[C|E]","0.18008199180082","Samples_018","BIOTIC"
"[d] = Residuals34",NA,NA,0.888832915214933,FALSE,"Residuals","NA","Samples_018","BIOTIC"
"[a+b] = X135",1,0.00484951767618605,-0.00351309141897205,TRUE,"[E|C+E:C]","0.447255274472553","Samples_019","BIOTIC"
"[b+c] = X235",1,0.00451335673623343,-0.00385207724077286,TRUE,"[E:C+C|E]","0.46985301469853","Samples_019","BIOTIC"
"[a+b+c] = X1+X235",2,0.00490985686784319,-0.0119560777615155,TRUE,"[E|C+E:C+C|E]","0.741025897410259","Samples_019","BIOTIC"
"[a] = X1|X235",1,NA,-0.00810400052074267,TRUE,"[E|C]","0.83021697830217","Samples_019","BIOTIC"
"[b]35",0,NA,0.00459090910177062,FALSE,"[E:C]","NA","Samples_019","BIOTIC"
"[c] = X2|X135",1,NA,-0.00844298634254348,TRUE,"[C|E]","0.933306669333067","Samples_019","BIOTIC"
"[d] = Residuals35",NA,NA,1.01195607776152,FALSE,"Residuals","NA","Samples_019","BIOTIC"
"[a+b] = X136",1,0.231204669411952,0.221473082948812,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_020","BIOTIC"
"[b+c] = X236",1,0.194669656791724,0.184475601814404,TRUE,"[E:C+C|E]","0.0001999800019998","Samples_020","BIOTIC"
"[a+b+c] = X1+X236",2,0.259542368950357,0.24055627584652,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_020","BIOTIC"
"[a] = X1|X236",1,NA,0.0560806740321164,TRUE,"[E|C]","0.0101989801019898","Samples_020","BIOTIC"
"[b]36",0,NA,0.165392408916695,FALSE,"[E:C]","NA","Samples_020","BIOTIC"
"[c] = X2|X136",1,NA,0.0190831928977083,TRUE,"[C|E]","0.0873912608739126","Samples_020","BIOTIC"
"[d] = Residuals36",NA,NA,0.75944372415348,FALSE,"Residuals","NA","Samples_020","BIOTIC"
"[a+b] = X137",1,0.204871872939771,0.203363090914989,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_023","BIOTIC"
"[b+c] = X237",1,0.144164286514853,0.142540309828923,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_023","BIOTIC"
"[a+b+c] = X1+X237",2,0.227032250026346,0.224093209151922,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_023","BIOTIC"
"[a] = X1|X237",1,NA,0.0815528993229994,TRUE,"[E|C]","9.99900009999e-05","Samples_023","BIOTIC"
"[b]37",0,NA,0.121810191591989,FALSE,"[E:C]","NA","Samples_023","BIOTIC"
"[c] = X2|X137",1,NA,0.020730118236933,TRUE,"[C|E]","9.99900009999e-05","Samples_023","BIOTIC"
"[d] = Residuals37",NA,NA,0.775906790848078,FALSE,"Residuals","NA","Samples_023","BIOTIC"
"[a+b] = X138",1,0.0821099398815665,0.08063660110128,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_024","BIOTIC"
"[b+c] = X238",1,0.113075431210809,0.111651796268933,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_024","BIOTIC"
"[a+b+c] = X1+X238",2,0.120485564031006,0.117657543336572,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_024","BIOTIC"
"[a] = X1|X238",1,NA,0.00600574706763923,TRUE,"[E|C]","0.0237976202379762","Samples_024","BIOTIC"
"[b]38",0,NA,0.0746308540336408,FALSE,"[E:C]","NA","Samples_024","BIOTIC"
"[c] = X2|X138",1,NA,0.0370209422352918,TRUE,"[C|E]","9.99900009999e-05","Samples_024","BIOTIC"
"[d] = Residuals38",NA,NA,0.882342456663428,FALSE,"Residuals","NA","Samples_024","BIOTIC"
"[a+b] = X139",1,0.130829992316044,0.129434855867113,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_025","BIOTIC"
"[b+c] = X239",1,0.116467532164336,0.115049342007297,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_025","BIOTIC"
"[a+b+c] = X1+X239",2,0.148692883337085,0.145955561418554,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_025","BIOTIC"
"[a] = X1|X239",1,NA,0.0309062194112576,TRUE,"[E|C]","9.99900009999e-05","Samples_025","BIOTIC"
"[b]39",0,NA,0.0985286364558555,FALSE,"[E:C]","NA","Samples_025","BIOTIC"
"[c] = X2|X139",1,NA,0.0165207055514413,TRUE,"[C|E]","0.0003999600039996","Samples_025","BIOTIC"
"[d] = Residuals39",NA,NA,0.854044438581446,FALSE,"Residuals","NA","Samples_025","BIOTIC"
"[a+b] = X140",1,0.537937925921705,0.517848270526996,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_STUDY006","CHEMICAL"
"[b+c] = X240",1,0.228507693923321,0.194964550180857,TRUE,"[E:C+C|E]","0.015998400159984","Samples_STUDY006","CHEMICAL"
"[a+b+c] = X1+X240",2,0.56750647799803,0.52818888508876,TRUE,"[E|C+E:C+C|E]","0.0005999400059994","Samples_STUDY006","CHEMICAL"
"[a] = X1|X240",1,NA,0.333224334907903,TRUE,"[E|C]","0.0006999300069993","Samples_STUDY006","CHEMICAL"
"[b]40",0,NA,0.184623935619093,FALSE,"[E:C]","NA","Samples_STUDY006","CHEMICAL"
"[c] = X2|X140",1,NA,0.0103406145617634,TRUE,"[C|E]","0.227577242275772","Samples_STUDY006","CHEMICAL"
"[d] = Residuals40",NA,NA,0.47181111491124,FALSE,"Residuals","NA","Samples_STUDY006","CHEMICAL"
"[a+b] = X141",1,0.132426997231856,0.123574211489324,TRUE,"[E|C+E:C]","0.0002999700029997","Samples_009_azacytidine","CHEMICAL"
"[b+c] = X241",1,0.141044533559087,0.13227968186071,TRUE,"[E:C+C|E]","0.0001999800019998","Samples_009_azacytidine","CHEMICAL"
"[a+b+c] = X1+X241",2,0.152433808546328,0.134958216969963,TRUE,"[E|C+E:C+C|E]","0.0003999600039996","Samples_009_azacytidine","CHEMICAL"
"[a] = X1|X241",1,NA,0.00267853510925276,TRUE,"[E|C]","0.257974202579742","Samples_009_azacytidine","CHEMICAL"
"[b]41",0,NA,0.120895676380071,FALSE,"[E:C]","NA","Samples_009_azacytidine","CHEMICAL"
"[c] = X2|X141",1,NA,0.011384005480639,TRUE,"[C|E]","0.132586741325867","Samples_009_azacytidine","CHEMICAL"
"[d] = Residuals41",NA,NA,0.865041783030037,FALSE,"Residuals","NA","Samples_009_azacytidine","CHEMICAL"
"[a+b] = X142",1,0.13266170707366,0.125373149990246,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_009_herbivory","CHEMICAL"
"[b+c] = X242",1,0.0951073212067386,0.0875031810488121,TRUE,"[E:C+C|E]","0.0006999300069993","Samples_009_herbivory","CHEMICAL"
"[a+b+c] = X1+X242",2,0.133383486674614,0.118695071194523,TRUE,"[E|C+E:C+C|E]","0.0002999700029997","Samples_009_herbivory","CHEMICAL"
"[a] = X1|X242",1,NA,0.0311918901457108,TRUE,"[E|C]","0.0252974702529747","Samples_009_herbivory","CHEMICAL"
"[b]42",0,NA,0.0941812598445351,FALSE,"[E:C]","NA","Samples_009_herbivory","CHEMICAL"
"[c] = X2|X142",1,NA,-0.00667807879572302,TRUE,"[C|E]","0.748225177482252","Samples_009_herbivory","CHEMICAL"
"[d] = Residuals42",NA,NA,0.881304928805477,FALSE,"Residuals","NA","Samples_009_herbivory","CHEMICAL"
"[a+b] = X143",1,0.112526324044831,0.112197873387556,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_011","CHEMICAL"
"[b+c] = X243",1,0.0300753101770386,0.0297163447107828,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_011","CHEMICAL"
"[a+b+c] = X1+X243",2,0.112808266554658,0.112151330802384,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_011","CHEMICAL"
"[a] = X1|X243",1,NA,0.0824349860916016,TRUE,"[E|C]","9.99900009999e-05","Samples_011","CHEMICAL"
"[b]43",0,NA,0.0297628872959547,FALSE,"[E:C]","NA","Samples_011","CHEMICAL"
"[c] = X2|X143",1,NA,-4.65425851718937e-05,TRUE,"[C|E]","0.353564643535646","Samples_011","CHEMICAL"
"[d] = Residuals43",NA,NA,0.887848669197616,FALSE,"Residuals","NA","Samples_011","CHEMICAL"
"[a+b] = X144",1,0.213253083417644,0.179046695740151,TRUE,"[E|C+E:C]","0.0231976802319768","Samples_012","CHEMICAL"
"[b+c] = X244",1,0.16518104037616,0.128884563870776,TRUE,"[E:C+C|E]","0.0417958204179582","Samples_012","CHEMICAL"
"[a+b+c] = X1+X244",2,0.279586851774584,0.214094747390456,TRUE,"[E|C+E:C+C|E]","0.0265973402659734","Samples_012","CHEMICAL"
"[a] = X1|X244",1,NA,0.0852101835196802,TRUE,"[E|C]","0.0791920807919208","Samples_012","CHEMICAL"
"[b]44",0,NA,0.0938365122204703,FALSE,"[E:C]","NA","Samples_012","CHEMICAL"
"[c] = X2|X144",1,NA,0.0350480516503054,TRUE,"[C|E]","0.178182181781822","Samples_012","CHEMICAL"
"[d] = Residuals44",NA,NA,0.785905252609544,FALSE,"Residuals","NA","Samples_012","CHEMICAL"
"[a+b] = X145",1,0.0302180382211949,0.0145763936763754,TRUE,"[E|C+E:C]","0.167983201679832","Samples_017","CHEMICAL"
"[b+c] = X245",1,0.0836023064913895,0.0688216985315733,TRUE,"[E:C+C|E]","0.0208979102089791","Samples_017","CHEMICAL"
"[a+b+c] = X1+X245",2,0.0942426755175667,0.0645457140591263,TRUE,"[E|C+E:C+C|E]","0.0467953204679532","Samples_017","CHEMICAL"
"[a] = X1|X245",1,NA,-0.00427598447244693,TRUE,"[E|C]","0.406959304069593","Samples_017","CHEMICAL"
"[b]45",0,NA,0.0188523781488223,FALSE,"[E:C]","NA","Samples_017","CHEMICAL"
"[c] = X2|X145",1,NA,0.0499693203827509,TRUE,"[C|E]","0.0381961803819618","Samples_017","CHEMICAL"
"[d] = Residuals45",NA,NA,0.935454285940874,FALSE,"Residuals","NA","Samples_017","CHEMICAL"
"[a+b] = X146",1,0.0732503716939442,0.0583027970438464,TRUE,"[E|C+E:C]","0.0295970402959704","Samples_021","CHEMICAL"
"[b+c] = X246",1,0.0939622135107487,0.0793487008254382,TRUE,"[E:C+C|E]","0.0136986301369863","Samples_021","CHEMICAL"
"[a+b+c] = X1+X246",2,0.100333059798929,0.0708357830710249,TRUE,"[E|C+E:C+C|E]","0.0393960603939606","Samples_021","CHEMICAL"
"[a] = X1|X246",1,NA,-0.00851291775441332,TRUE,"[E|C]","0.512148785121488","Samples_021","CHEMICAL"
"[b]46",0,NA,0.0668157147982598,FALSE,"[E:C]","NA","Samples_021","CHEMICAL"
"[c] = X2|X146",1,NA,0.0125329860271784,TRUE,"[C|E]","0.182681731826817","Samples_021","CHEMICAL"
"[d] = Residuals46",NA,NA,0.929164216928975,FALSE,"Residuals","NA","Samples_021","CHEMICAL"
