"","Dataset","Treatment","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"1","Samples_STUDY001","BIOTIC","EC","0.939916728995525","0.0081","greater","4.82264170767528","0.000110827789415541","0.0379757482724093"
"2","Samples_STUDY001","BIOTIC","CS","-0.0206701099677314","0.4979","greater","-0.103060795818392","-0.00150564331481997","0.0345785271875565"
"3","Samples_STUDY001","BIOTIC","ES","0.0188910533965362","0.3951","greater","0.115504129389551","0.000573380033951879","0.0251504406784809"
"4","Samples_002","BIOTIC","EC","0.498981161527363","0.0142","greater","3.35430719685044","-0.00185584992615064","0.0222939571885744"
"5","Samples_002","BIOTIC","CS","0.242759689483027","0.0621","greater","1.60972035282443","-0.00024574945856467","0.0227893069408362"
"6","Samples_002","BIOTIC","ES","0.108807989896147","0.2021","greater","0.750679569987072","-0.000295333115732499","0.021123543019152"
"7","Samples_009_herbivory","BIOTIC","EC","0.742208239996333","1e-04","greater","4.42201352568666","0.000955531210383766","0.0280991028283263"
"8","Samples_009_herbivory","BIOTIC","CS","0.221859010027003","0.0848","greater","1.49849176718959","-0.00209271357859749","0.0223357271675721"
"9","Samples_009_herbivory","BIOTIC","ES","0.182166190156063","0.1163","greater","1.24608742889947","-0.00181553118613027","0.0217997908166852"
"10","Samples_012","BIOTIC","EC","-0.0709833021641487","0.4416","greater","-0.202437929183445","0.00645072159855526","0.146311978356504"
"11","Samples_012","BIOTIC","CS","-0.105330525268135","0.6037","greater","-0.441639535771515","-0.0056780526424318","0.0509143576308358"
"12","Samples_012","BIOTIC","ES","-0.44647202121509","0.9667","greater","-1.63978601572404","-0.000827519367578988","0.0738588852857194"
"13","Samples_014_A","BIOTIC","EC","0.742870200774375","1e-04","greater","3.75460986875638","-0.00176742047180541","0.0393332935963316"
"14","Samples_014_A","BIOTIC","CS","0.0240422622242772","0.3965","greater","0.245306300748376","0.00160157880786075","0.00836863740604496"
"15","Samples_014_A","BIOTIC","ES","0.0547083023236674","0.2771","greater","0.557085416524313","2.59795951964598e-05","0.00963496914656299"
"16","Samples_014_B","BIOTIC","EC","0.621153728615559","1e-04","greater","7.10406931652093","0.000576717053300964","0.00763092151358367"
"17","Samples_014_B","BIOTIC","CS","-0.137931887879393","0.8904","greater","-1.17711993892093","0.00146859016847165","0.0140244905409336"
"18","Samples_014_B","BIOTIC","ES","-0.0736538826952521","0.792","greater","-0.853280209172889","0.00154315535501961","0.00776637082595606"
"19","Samples_014_C","BIOTIC","EC","0.595808298031479","1e-04","greater","4.77412507153272","0.00135872578127611","0.0155039533521139"
"20","Samples_014_C","BIOTIC","CS","-0.0454021588505645","0.652","greater","-0.51304837560303","0.000992045216908624","0.00817731679695618"
"21","Samples_014_C","BIOTIC","ES","0.112943165141687","0.1008","greater","1.2831909762236","-0.000333207302897806","0.00779284560254082"
"22","Samples_015","BIOTIC","EC","0.141230807269485","0.2377","greater","0.758304646592741","0.00212493568038828","0.0336514272904472"
"23","Samples_015","BIOTIC","CS","0.118175572092263","0.2769","greater","0.527101891292826","0.00208133737013759","0.0485100985729748"
"24","Samples_015","BIOTIC","ES","0.521416549982143","0.0032","greater","3.0301582532982","0.000890092138035976","0.029509034296263"
"25","Samples_016_2","BIOTIC","EC","0.776200581747438","1e-04","greater","6.83283288813275","-0.00114799812914807","0.0129428530559461"
"26","Samples_016_2","BIOTIC","CS","0.261271368197167","0.0387","greater","1.95636267819715","0.0028567233524741","0.0174475923752099"
"27","Samples_016_2","BIOTIC","ES","0.161921290024098","0.1238","greater","1.34058889108671","0.00166148188079272","0.0142908481465095"
"28","Samples_018","BIOTIC","EC","0.372477766865214","0.0031","greater","3.36427789458562","0.000923673703559854","0.012197206484586"
"29","Samples_018","BIOTIC","CS","-0.0837384538967232","0.708","greater","-0.613430747020433","0.00243592771361727","0.0197344610582696"
"30","Samples_018","BIOTIC","ES","0.051353316281778","0.2907","greater","0.463714713528482","-0.000346786166830264","0.0124302841092876"
"31","Samples_019","BIOTIC","EC","0.909259658504687","0.0018","greater","6.48098134673564","0.0027329866753263","0.0195649899831866"
"32","Samples_019","BIOTIC","CS","-0.0727427094514357","0.5847","greater","-0.441963378330628","0.00106976250119789","0.0278924671725125"
"33","Samples_019","BIOTIC","ES","-0.0478699998540503","0.5778","greater","-0.376162452652909","0.00261001266439657","0.0180089345998715"
"34","Samples_020","BIOTIC","EC","0.516021292798145","0.0013","greater","3.24500968679148","0.00290787474765471","0.0250031512651757"
"35","Samples_020","BIOTIC","CS","0.185008981536751","0.1487","greater","0.967424777341046","-0.000668746668581367","0.0368370815275089"
"36","Samples_020","BIOTIC","ES","0.124344701348985","0.2085","greater","0.796327541606712","0.000303874165640246","0.0242630746639882"
"37","Samples_023","BIOTIC","EC","0.503737703626795","1e-04","greater","7.08484565135415","0.000398228537521279","0.00504732415323908"
"38","Samples_023","BIOTIC","CS","0.284408129843501","0.0048","greater","3.04700845443897","-0.000534156364564719","0.00874513444362489"
"39","Samples_023","BIOTIC","ES","0.353076260490571","2e-04","greater","4.49793504189294","-0.000285100149969451","0.00617179878668251"
"40","Samples_024","BIOTIC","EC","0.631500870709433","1e-04","greater","5.15644223691894","-0.000422450135466418","0.0150185654672292"
"41","Samples_024","BIOTIC","CS","0.279468937827403","0.0303","greater","2.02516812262298","-0.000584445990312615","0.0191231522895697"
"42","Samples_024","BIOTIC","ES","0.221282981482624","0.043","greater","1.95703701293443","-0.000666171367544658","0.0128620118263969"
"43","Samples_025","BIOTIC","EC","0.64114160318296","1e-04","greater","6.74966592209787","0.000650913691259094","0.0090045307702539"
"44","Samples_025","BIOTIC","CS","0.253451935469651","0.0062","greater","2.77132537471289","-0.000253318083622329","0.00838076926900945"
"45","Samples_025","BIOTIC","ES","0.281516807525712","0.0031","greater","3.74303176791021","0.000325414507271481","0.00564361033777662"
"46","Samples_STUDY006","CHEMICAL","EC","0.0222820165704556","0.3233","greater","0.0630863181706412","0.000455550040109633","0.119700648617754"
"47","Samples_STUDY006","CHEMICAL","CS","-0.0242297360316971","0.4797","greater","-0.0648351970700954","-0.00178315344157324","0.119861246756753"
"48","Samples_STUDY006","CHEMICAL","ES","0.498988960088596","0.1352","greater","1.23682580468593","-0.00443497389240608","0.165672582834091"
"49","Samples_009_azacytidine","CHEMICAL","EC","0.752518034191972","0.0026","greater","3.53457282566763","0.0028420927496285","0.0449855753171957"
"50","Samples_009_azacytidine","CHEMICAL","CS","0.137232044172428","0.1989","greater","0.909993941092927","-0.00122246349077634","0.023149264537172"
"51","Samples_009_azacytidine","CHEMICAL","ES","0.0604987791071848","0.3151","greater","0.383631516885112","0.00246172310682668","0.0228866480125332"
"52","Samples_009_herbivory","CHEMICAL","EC","0.742208239996333","1e-04","greater","4.38150287319645","0.000891405305718004","0.0286260564762536"
"53","Samples_009_herbivory","CHEMICAL","CS","0.113254980139426","0.2346","greater","0.59998236331143","-0.00142631481652016","0.0365349239652766"
"54","Samples_009_herbivory","CHEMICAL","ES","0.13381739429441","0.2175","greater","0.731698411220569","0.00128786146494509","0.0328065914372155"
"55","Samples_011","CHEMICAL","EC","0.534509540540599","1e-04","greater","9.73858803043086","0.00126177807165102","0.00299823793620203"
"56","Samples_011","CHEMICAL","CS","0.125226759565893","0.0068","greater","2.9056242917443","-2.85503344987767e-05","0.00185828951413137"
"57","Samples_011","CHEMICAL","ES","0.292802258402894","1e-04","greater","7.9605898158444","0.000261798968853973","0.00135045894208076"
"58","Samples_012","CHEMICAL","EC","-0.0709833021641487","0.4307","greater","-0.185296507240009","-0.00112388721582921","0.142139709070611"
"59","Samples_012","CHEMICAL","CS","0.163333208039861","0.1915","greater","0.98772404357143","-0.000706876710452478","0.0275821882767488"
"60","Samples_012","CHEMICAL","ES","0.277771731510232","0.1926","greater","1.15187075036708","-0.00288440768012046","0.0593665201054588"
"61","Samples_017","CHEMICAL","EC","0.753006694106192","1e-04","greater","2.88503534935047","0.000617578177193658","0.0680115591798381"
"62","Samples_017","CHEMICAL","CS","-0.18412498117671","0.7648","greater","-0.757508531757586","-0.00179051938225953","0.0579378615539527"
"63","Samples_017","CHEMICAL","ES","-0.335311100121933","0.9788","greater","-1.50307970957331","-0.00051264605748558","0.0496138424884019"
"64","Samples_021","CHEMICAL","EC","0.951717763506176","0.0135","greater","4.06672129566952","0.000498374254296225","0.0547107374178927"
"65","Samples_021","CHEMICAL","CS","-0.00745163594356552","0.5288","greater","-0.0528272100690133","0.00155613233765538","0.0290749556609187"
"66","Samples_021","CHEMICAL","ES","-0.00670083791851305","0.5254","greater","-0.035474083812971","-0.000395280316291769","0.031595455384872"
"67","Samples_STUDY001","CONTROL","EC","0.951802002878786","0.0038","greater","4.29616494582397","0.000603494415084327","0.0490208036499655"
"68","Samples_STUDY001","CONTROL","CS","0.0818753169571942","0.1985","greater","0.771273835787319","-0.00180097860544431","0.0117703043517445"
"69","Samples_STUDY001","CONTROL","ES","-0.0360196382201419","0.5804","greater","-0.40226863986905","-0.000117246783129587","0.00796552492856688"
"70","Samples_002","CONTROL","EC","0.498981161527363","0.0152","greater","3.35709712684491","-0.00189296950091812","0.0222602168767436"
"71","Samples_002","CONTROL","CS","0.0831203833503459","0.2827","greater","0.536191697912247","0.00237655349096733","0.0226766302901565"
"72","Samples_002","CONTROL","ES","-0.0581637397481336","0.6273","greater","-0.405630337598105","0.000126233191159739","0.0206503230215087"
"73","Samples_STUDY003","CONTROL","EC","0.402070996893961","0.016","greater","2.23102695584533","0.000827261081580248","0.0323449806330149"
"74","Samples_STUDY003","CONTROL","CS","0.166787504566409","0.2134","greater","0.827376027695276","0.000130137561497762","0.040573564681821"
"75","Samples_STUDY003","CONTROL","ES","0.243491369134329","0.1203","greater","1.31814191199769","0.000189456920492317","0.0340695742235867"
"76","Samples_STUDY004","CONTROL","EC","0.26218827240341","0.0175","greater","2.70748851081782","0.00102957775588585","0.00930412922418214"
"77","Samples_STUDY004","CONTROL","CS","0.0221234926566395","0.3987","greater","0.218896783874842","-0.000739244981619454","0.0109088181893893"
"78","Samples_STUDY004","CONTROL","ES","0.250692782467791","0.0085","greater","2.72527121455956","-0.00131991295463527","0.00855116685529976"
"79","Samples_STUDY005","CONTROL","EC","0.760389493138137","0.0116","greater","2.34211162695948","-0.000256966275634873","0.105475238497407"
"80","Samples_STUDY005","CONTROL","CS","-0.114995833372747","0.5626","greater","-0.364177380377449","0.00443452754895896","0.107548301083897"
"81","Samples_STUDY005","CONTROL","ES","-0.3838790903839","0.8914","greater","-0.994765955285969","0.000416999750192935","0.149241671547471"
"82","Samples_STUDY006","CONTROL","EC","0.0222820165704556","0.3055","greater","0.0777097267026278","-0.00416670820634859","0.115840043414598"
"83","Samples_STUDY006","CONTROL","CS","0.29754300725133","0.2521","greater","0.917127874161493","3.31639012625037e-05","0.105230804914253"
"84","Samples_STUDY006","CONTROL","ES","0.330324447041794","0.1356","greater","1.21213873967882","-0.000157901909514928","0.0743347482214469"
"85","Samples_009_azacytidine","CONTROL","EC","0.752518034191972","0.0023","greater","3.54339258078219","0.00107324356835591","0.0449733887675957"
"86","Samples_009_azacytidine","CONTROL","CS","0.242527503404266","0.1843","greater","1.16960905585962","-0.00205817202838629","0.0437301122478809"
"87","Samples_009_azacytidine","CONTROL","ES","0.113451595345912","0.3106","greater","0.509937046411374","0.00327071206971376","0.0466852158262668"
"88","Samples_009_herbivory","CONTROL","EC","0.742208239996333","1e-04","greater","4.3631493219908","0.00235856777015823","0.0287532419544865"
"89","Samples_009_herbivory","CONTROL","CS","0.189620608932741","0.0693","greater","1.51098209606253","-0.000825467198970145","0.0158863973716278"
"90","Samples_009_herbivory","CONTROL","ES","0.0622972908180048","0.2692","greater","0.494927870379703","-0.00107345816744681","0.0163943370424056"
"91","Samples_010","CONTROL","EC","0.639156896107458","0.0084","greater","2.56245273480206","-0.00167785159085249","0.0625432402732956"
"92","Samples_010","CONTROL","CS","0.754071670203072","0.0627","greater","2.22269674544649","-0.00574684900771473","0.116858234802319"
"93","Samples_010","CONTROL","ES","0.439433248069688","0.1012","greater","1.74215556084908","0.00211602021060307","0.0630114262552746"
"94","Samples_011","CONTROL","EC","0.51440800135351","1e-04","greater","9.96046794623619","-0.000288873706966652","0.00267019869018777"
"95","Samples_011","CONTROL","CS","0.0523328848463951","0.0356","greater","2.07154832295127","0.000531135022485634","0.000625314822302477"
"96","Samples_011","CONTROL","ES","0.169102180328835","8e-04","greater","6.62036693692851","-0.000134729794115445","0.000653470599477672"
"97","Samples_012","CONTROL","EC","-0.0709833021641487","0.4348","greater","-0.188582633496799","0.00073200766218646","0.144617338808358"
"98","Samples_012","CONTROL","CS","-0.0256140608224796","0.4728","greater","-0.10196571248341","0.00391094074624743","0.0838439137041848"
"99","Samples_012","CONTROL","ES","0.570814940726958","0.0352","greater","1.86470518729282","-0.00100467364132615","0.0940367776314347"
"100","Samples_013","CONTROL","EC","0.61053219014722","1e-04","greater","4.51554091187419","0.000488661636297314","0.0182516480619394"
"101","Samples_013","CONTROL","CS","-0.0606755494619865","0.5563","greater","-0.335104042108037","0.00226380972937472","0.0352764846769761"
"102","Samples_013","CONTROL","ES","0.0791860397444465","0.2658","greater","0.555037538942982","-0.00078550143178522","0.0207599459093085"
"103","Samples_014_A","CONTROL","EC","0.742870200774375","1e-04","greater","3.73841712830352","0.000360376203726151","0.0394483545813885"
"104","Samples_014_A","CONTROL","CS","-0.0905974558302093","0.6103","greater","-0.462912322862836","-0.00110272301522785","0.0373763998895229"
"105","Samples_014_A","CONTROL","ES","-0.142570007113921","0.7667","greater","-0.812457422429174","0.00065454864040574","0.0310766177869121"
"106","Samples_014_B","CONTROL","EC","0.608695155321768","1e-04","greater","7.08946376244889","-3.95584530432835e-05","0.00737274754545408"
"107","Samples_014_B","CONTROL","CS","0.287405727478172","0.0343","greater","2.08730861074842","-0.000660702607125732","0.019046359253365"
"108","Samples_014_B","CONTROL","ES","0.0636522848726279","0.2217","greater","0.72863620567671","0.000380544836581058","0.00754046383826629"
"109","Samples_014_C","CONTROL","EC","0.595808298031479","1e-04","greater","4.79929054522175","0.000732031633631019","0.0153741521198936"
"110","Samples_014_C","CONTROL","CS","-0.017701583728646","0.4681","greater","-0.111687764913134","-0.00186032061351894","0.0201172408265054"
"111","Samples_014_C","CONTROL","ES","0.100501262711732","0.212","greater","0.872229611405062","-0.000253233401191028","0.0133434218934907"
"112","Samples_015","CONTROL","EC","0.141230807269485","0.2284","greater","0.777265500099146","-0.000419328205677731","0.0332120134843323"
"113","Samples_015","CONTROL","CS","-0.140126139579","0.7252","greater","-0.704535614702841","-0.00014052920181632","0.0394785221563822"
"114","Samples_015","CONTROL","ES","0.00882640555575502","0.4318","greater","0.0541817079774362","0.000145408485870604","0.0256704709787777"
"115","Samples_016_2","CONTROL","EC","0.762620906452835","3e-04","greater","5.45944063187434","0.000686767984560363","0.0194777402470307"
"116","Samples_016_2","CONTROL","CS","0.234989258831203","0.0359","greater","1.98694734873844","-0.000284553484673548","0.0140208538164749"
"117","Samples_016_2","CONTROL","ES","0.125842642033784","0.1167","greater","1.08975355370285","-0.00082450290158747","0.0135104985610768"
"118","Samples_017","CONTROL","EC","0.753006694106192","3e-04","greater","2.8620537589889","-0.00218788564359725","0.0696245104378501"
"119","Samples_017","CONTROL","CS","-0.0754360809276051","0.5695","greater","-0.274055208802357","-0.00156731553845555","0.0726516629080208"
"120","Samples_017","CONTROL","ES","-0.263580976548369","0.8827","greater","-1.09766161860911","0.00172435162100303","0.0584191167801079"
"121","Samples_018","CONTROL","EC","0.372477766865214","0.0049","greater","3.31829471650216","-0.000395563217378518","0.0126267834299107"
"122","Samples_018","CONTROL","CS","-0.0887825315490427","0.7268","greater","-0.658366246374051","0.000743925487455534","0.0184913100934271"
"123","Samples_018","CONTROL","ES","-0.158187782442412","0.958","greater","-1.43803431516377","0.00107613047326331","0.0122658108758938"
"124","Samples_019","CONTROL","EC","0.788708936060649","0.0013","greater","6.00238460171186","0.00121233285949282","0.0172127293369463"
"125","Samples_019","CONTROL","CS","0.251666250329991","0.0553","greater","1.81613645637546","0.000282893903755142","0.0191591434182735"
"126","Samples_019","CONTROL","ES","0.272286666081571","0.0395","greater","2.12692506781546","-0.00141674369810537","0.0165598361740957"
"127","Samples_020","CONTROL","EC","0.510940263204476","0.0075","greater","2.82948323384939","-0.002202356703541","0.0328898524134713"
"128","Samples_020","CONTROL","CS","0.209754309564116","0.3041","greater","0.827938427502557","0.0045584704539109","0.0614244136934555"
"129","Samples_020","CONTROL","ES","0.0414845251021203","0.3764","greater","0.278364239830958","-4.46699218056092e-05","0.022257692634335"
"130","Samples_022","CONTROL","EC","0.623983519552616","1e-04","greater","14.7736691270263","-0.000216181085997117","0.00178513216596252"
"131","Samples_022","CONTROL","CS","0.27254497020647","1e-04","greater","5.68682595760969","-0.000386035151977905","0.00230338150697723"
"132","Samples_022","CONTROL","ES","0.364661972224172","1e-04","greater","8.24039836724644","-0.000188338214749001","0.00196034732973288"
"133","Samples_023","CONTROL","EC","0.503737703626795","1e-04","greater","7.09061817765781","-0.000978806002513429","0.00506671904283584"
"134","Samples_023","CONTROL","CS","0.0272040282848134","0.3711","greater","0.279516083427729","0.00121059394997814","0.00864796100386227"
"135","Samples_023","CONTROL","ES","0.146787078008197","0.0426","greater","1.88985536577712","-0.00053943100744222","0.00607721582570845"
"136","Samples_024","CONTROL","EC","0.631500870709433","1e-04","greater","5.18264946420747","-0.000694786239272971","0.0148798771135725"
"137","Samples_024","CONTROL","CS","0.252283183655081","0.0309","greater","2.04577240561471","-0.000259047783022626","0.0152388921133203"
"138","Samples_024","CONTROL","ES","0.140715427053756","0.1015","greater","1.35261180178485","-6.913906306019e-05","0.0108333743021297"
"139","Samples_025","CONTROL","EC","0.64114160318296","1e-04","greater","6.6208299891084","-0.000488700259745177","0.00939171406240249"
"140","Samples_025","CONTROL","CS","0.288163297382115","0.0143","greater","2.38888270589985","0.00176206987545123","0.014373419373537"
"141","Samples_025","CONTROL","ES","0.30679021065761","0.0033","greater","3.35507125848456","-0.00178765083420306","0.00845913649542332"
